benchmark_name,client_num,commit,errors,exp_duration,key_dist,key_dist_skew,n_clients_per_workload_node,n_hot_keys,n_hot_nodes,n_keys_per_statement,n_splits,n_statements_per_txn,n_warm_nodes,n_workload_nodes,op_type,ops/sec,p50_ms,p95_ms,p99_ms,pmax_ms,read_percent,sample_type,time_secs
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,51.0,570.4,1073.7,1275.1,1811.9,90,interval,49.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,7.0,10737.4,38654.7,38654.7,38654.7,90,interval,49.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,58.1,302.0,1140.9,1610.6,2147.5,90,interval,50.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,4.0,1208.0,7247.8,7247.8,7247.8,90,interval,50.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,73.0,209.7,1006.6,1409.3,1409.3,90,interval,51.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,8.0,12348.0,47244.6,47244.6,47244.6,90,interval,51.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,73.0,260.0,1677.7,1879.0,1879.0,90,interval,52.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,7.0,1610.6,51539.6,51539.6,51539.6,90,interval,52.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,20.0,12.1,1744.8,1744.8,1744.8,90,interval,53.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,1.0,13421.8,13421.8,13421.8,13421.8,90,interval,53.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,125.9,14.2,1946.2,2080.4,2080.4,90,interval,54.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,18.0,2080.4,20401.1,24696.1,24696.1,90,interval,54.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,36.0,671.1,872.4,906.0,906.0,90,interval,55.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,2.0,704.6,805.3,805.3,805.3,90,interval,55.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,34.0,1073.7,1811.9,2281.7,2281.7,90,interval,56.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,2.0,1811.9,19327.4,19327.4,19327.4,90,interval,56.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,70.0,243.3,2550.1,2550.1,2550.1,90,interval,57.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,5.0,36507.2,57982.1,57982.1,57982.1,90,interval,57.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,46.0,352.3,1811.9,1879.0,1879.0,90,interval,58.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,4.0,1610.6,14495.5,14495.5,14495.5,90,interval,58.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,44.0,37.7,1879.0,2013.3,2013.3,90,interval,59.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,,6.0,1140.9,60129.5,60129.5,60129.5,90,interval,59.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,read,67.3,209.7,2013.3,2550.1,3489.7,90,total,60.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,write,6.3,2415.9,36507.2,47244.6,60129.5,90,total,60.0
kv,0,jenn-no-wound,0.0,60,zipf,1.4,128,1,1,10,1000,1,15,1,aggregate,73.6,302.0,2550.1,21474.8,60129.5,90,total_aggregate,60.0
