127, avg(latency)=6339.297280000001, med(latency)=6339.297280000001, p99(latency)=2822.0930557988004
33, avg(latency)=12757.711709800002, med(latency)=9180.649984, p99(latency)=1848.4933967604
903, avg(latency)=2751.0456740000004, med(latency)=2751.0456740000004, p99(latency)=2751.0456740000004
24391600672082, avg(latency)=2751.0456740000004, med(latency)=2751.0456740000004, p99(latency)=2751.0456740000004
23, avg(latency)=7204.637557249999, med(latency)=2957.44226, p99(latency)=1619.3301987652999
591059, avg(latency)=2751.0456740000004, med(latency)=2751.0456740000004, p99(latency)=2751.0456740000004
618425, avg(latency)=2751.0456740000004, med(latency)=2751.0456740000004, p99(latency)=2751.0456740000004
23347, avg(latency)=2751.0456740000004, med(latency)=2751.0456740000004, p99(latency)=2751.0456740000004
1348, avg(latency)=3757.9898695, med(latency)=3757.9898695, p99(latency)=2770.9831690709007
1615, avg(latency)=2829.380007, med(latency)=2829.380007, p99(latency)=2829.380007
5652846603949705216, avg(latency)=2829.380007, med(latency)=2829.380007, p99(latency)=2829.380007
157, avg(latency)=5543.192499, med(latency)=5543.192499, p99(latency)=2883.1134943416
8914486378, avg(latency)=2829.380007, med(latency)=2829.380007, p99(latency)=2829.380007
2439884, avg(latency)=2829.380007, med(latency)=2829.380007, p99(latency)=2829.380007
26434, avg(latency)=2829.380007, med(latency)=2829.380007, p99(latency)=2829.380007
5147, avg(latency)=2829.380007, med(latency)=2829.380007, p99(latency)=2829.380007
679613, avg(latency)=2829.380007, med(latency)=2829.380007, p99(latency)=2829.380007
212761829, avg(latency)=2829.380007, med(latency)=2829.380007, p99(latency)=2829.380007
784, avg(latency)=2829.380007, med(latency)=2829.380007, p99(latency)=2829.380007
94, avg(latency)=1481.26819, med(latency)=1481.26819, p99(latency)=159.8489869766
853491, avg(latency)=2829.380007, med(latency)=2829.380007, p99(latency)=2829.380007
250777, avg(latency)=1891.8628660000002, med(latency)=1891.8628660000002, p99(latency)=1891.8628660000002
6898, avg(latency)=1891.8628660000002, med(latency)=1891.8628660000002, p99(latency)=1891.8628660000002
744, avg(latency)=1891.8628660000002, med(latency)=1891.8628660000002, p99(latency)=1891.8628660000002
5196941042424, avg(latency)=1891.8628660000002, med(latency)=1891.8628660000002, p99(latency)=1891.8628660000002
97, avg(latency)=3732.2258659999998, med(latency)=3155.881933, p99(latency)=1919.9059975648004
420619906, avg(latency)=1891.8628660000002, med(latency)=1891.8628660000002, p99(latency)=1891.8628660000002
24, avg(latency)=7927.640874294118, med(latency)=4091.697546, p99(latency)=47.5033636304
659345, avg(latency)=1891.8628660000002, med(latency)=1891.8628660000002, p99(latency)=1891.8628660000002
24266, avg(latency)=3075.622229, med(latency)=3075.622229, p99(latency)=3075.622229
2098, avg(latency)=3075.622229, med(latency)=3075.622229, p99(latency)=3075.622229
3794035, avg(latency)=3075.622229, med(latency)=3075.622229, p99(latency)=3075.622229
142089, avg(latency)=3075.622229, med(latency)=3075.622229, p99(latency)=3075.622229
5472, avg(latency)=3671.1565005, med(latency)=3671.1565005, p99(latency)=3087.4138075756996
631, avg(latency)=3075.622229, med(latency)=3075.622229, p99(latency)=3075.622229
3330530649807, avg(latency)=3075.622229, med(latency)=3075.622229, p99(latency)=3075.622229
125, avg(latency)=2207.283267, med(latency)=2207.283267, p99(latency)=1356.1374164476
151446194, avg(latency)=3075.622229, med(latency)=3075.622229, p99(latency)=3075.622229
12885, avg(latency)=3118.998913, med(latency)=3118.998913, p99(latency)=3118.998913
105, avg(latency)=2407.6180375, med(latency)=2407.6180375, p99(latency)=1710.3225033349
1795, avg(latency)=3118.998913, med(latency)=3118.998913, p99(latency)=3118.998913
589, avg(latency)=3118.998913, med(latency)=3118.998913, p99(latency)=3118.998913
61, avg(latency)=3569.7575922000005, med(latency)=3118.998913, p99(latency)=165.8266308648
115, avg(latency)=1586.9225219999998, med(latency)=1586.9225219999998, p99(latency)=85.1812435418
191, avg(latency)=3710.7013753333335, med(latency)=3118.998913, p99(latency)=1605.6585025349998
1357, avg(latency)=3118.998913, med(latency)=3118.998913, p99(latency)=3118.998913
2832430595, avg(latency)=3118.998913, med(latency)=3118.998913, p99(latency)=3118.998913
31, avg(latency)=4973.008803428572, med(latency)=4085.263567, p99(latency)=662.1586036018
2285681701122460672, avg(latency)=3289.890852, med(latency)=3289.890852, p99(latency)=3289.890852
11646582368, avg(latency)=3289.890852, med(latency)=3289.890852, p99(latency)=3289.890852
4700678, avg(latency)=3289.890852, med(latency)=3289.890852, p99(latency)=3289.890852
135059, avg(latency)=3289.890852, med(latency)=3289.890852, p99(latency)=3289.890852
1294, avg(latency)=3289.890852, med(latency)=3289.890852, p99(latency)=3289.890852
1732385591571545, avg(latency)=3289.890852, med(latency)=3289.890852, p99(latency)=3289.890852
1101973, avg(latency)=3289.890852, med(latency)=3289.890852, p99(latency)=3289.890852
4332921868, avg(latency)=3289.890852, med(latency)=3289.890852, p99(latency)=3289.890852
10, avg(latency)=5670.202915466667, med(latency)=4118.1255255, p99(latency)=43.2467334359
62143, avg(latency)=3289.890852, med(latency)=3289.890852, p99(latency)=3289.890852
393, avg(latency)=3289.890852, med(latency)=3289.890852, p99(latency)=3289.890852
